Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSig,CcliNumber,Year,Copyright,PageCount,SheetType,Status,DataType,Category,Path
Gracefully Broken,,"Bryan Torwalt,Jonas Myrin,Katie Torwalt,Matt Redman,Tasha Cobbs Leonard",A,A,88,'4/4,7091509,2017,"Capitol CMG Genesis,Capitol CMG Paragon,Jesus Culture Music,Jesus Culture Music Group,Meadowgreen Music Company,Said And Done Music,sixsteps Music,Son of the Lion,Tasha Cobbs Music Group,Thankyou Music,worshiptogether.com songs",0,LeadSheet,TRUE,Html,,Html\Lead\Gracefully Broken-7091509-Lead-A.html
Gracefully Broken,,"Bryan Torwalt,Jonas Myrin,Katie Torwalt,Matt Redman,Tasha Cobbs Leonard",,A,88,'4/4,7091509,2017,"Capitol CMG Genesis,Capitol CMG Paragon,Jesus Culture Music,Jesus Culture Music Group,Meadowgreen Music Company,Said And Done Music,sixsteps Music,Son of the Lion,Tasha Cobbs Music Group,Thankyou Music,worshiptogether.com songs",0,LyricsSheet,TRUE,File,,File\Lyric\Gracefully Broken.txt
Gracefully Broken,,"Bryan Torwalt,Jonas Myrin,Katie Torwalt,Matt Redman,Tasha Cobbs Leonard",,A,88,'4/4,7091509,2017,"Capitol CMG Genesis,Capitol CMG Paragon,Jesus Culture Music,Jesus Culture Music Group,Meadowgreen Music Company,Said And Done Music,sixsteps Music,Son of the Lion,Tasha Cobbs Music Group,Thankyou Music,worshiptogether.com songs",0,LyricsSheet,TRUE,Html,,Html\Lyric\Gracefully Broken-7091509-Lyric.txt
Great Are You Lord,,"David Leonard,Jason Ingram,Leslie Jordan",,A,144,'6/8,6460220,2012,"Integrity's Praise! Music,Little Way Creative,Open Hands Music,So Essential Tunes",1,NumberChart,TRUE,File,,File\Number\great-are-you-lord-#.pdf
Great Are You Lord,,"David Leonard,Jason Ingram,Leslie Jordan",,A,144,'6/8,6460220,2012,"Integrity's Praise! Music,Little Way Creative,Open Hands Music,So Essential Tunes",0,NumberChart,TRUE,Html,,Html\Number\Great Are You Lord-6460220-Number.html
Great Are You Lord,,"David Leonard,Jason Ingram,Leslie Jordan",A,A,144,'6/8,6460220,2012,"Integrity's Praise! Music,Little Way Creative,Open Hands Music,So Essential Tunes",1,ChordSheet,TRUE,File,,File\Chord\great-are-you-lord-A.pdf
Great Are You Lord,,"David Leonard,Jason Ingram,Leslie Jordan",A,A,144,'6/8,6460220,2012,"Integrity's Praise! Music,Little Way Creative,Open Hands Music,So Essential Tunes",0,ChordSheet,TRUE,Html,,Html\Chord\Great Are You Lord-6460220-Chord-A.html
Great Are You Lord,,"David Leonard,Jason Ingram,Leslie Jordan",A,A,144,'6/8,6460220,2012,"Integrity's Praise! Music,Little Way Creative,Open Hands Music,So Essential Tunes",2,LeadSheet,TRUE,File,,File\Lead\Great Are You Lord (A).pdf
Great Are You Lord,,"David Leonard,Jason Ingram,Leslie Jordan",A,A,144,'6/8,6460220,2012,"Integrity's Praise! Music,Little Way Creative,Open Hands Music,So Essential Tunes",0,LeadSheet,TRUE,Html,,Html\Lead\Great Are You Lord-6460220-Lead-A.html
Great Are You Lord,,"David Leonard,Jason Ingram,Leslie Jordan",,A,144,'6/8,6460220,2012,"Integrity's Praise! Music,Little Way Creative,Open Hands Music,So Essential Tunes",0,LyricsSheet,TRUE,File,,File\Lyric\Great Are You Lord.txt
