CategoryLetter,FullTitle,Author,FullKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,PageNumber
#,"10,000 Reasons (Bless The Lord)","Jonas Myrin, Matt Redman",G,73,4/4,6016351,2011,Atlas Mountain Songs,1
A,All Glory Be To Christ,Dustin Kensrue,E,94,4/4,7008232,2012,We Are Younger We Are Faster Music,9
,All Heaven Declares,"Noel Richards, Tricia Richards",A,120,4/4,120556,1987,Thankyou Music,12
,All The Poor And Powerless,"David Leonard, Leslie Jordan",A,76,4/4,5881130,2011,Integrity's Alleluia! Music,13
,All To Us,"Chris Tomlin, Jesse Reeves",G (Ab),62,4/4,5869860,2010,sixsteps Music,17
,Amazing Grace,"John Newton, John P. Rees",G,90,3/4,22025,1779,Public Domain,21
,Amazing Grace (My Chains Are Gone),"Chris Tomlin, John Newton",F,60,4/4,4768151,2006,sixsteps Music,22
,Ancient Words,Lynn DeShazo,E,63,3/4,2986399,2001,Integrity's Hosanna! Music,25
,And Can It Be (Amazing Love),Charles Wesley,G,110,4/4,25280,1738,Public Domain,29
,Another In The Fire,"Chris Davenport, Joel Houston",C,67,4/4,7124907,2018,Hillsong Music Publishing Australia,33
,Are You Washed In The Blood,Elisha A. Hoffman,G (Ab),96,4/4,21105,1878,Public Domain,39
,Are You Washed In The Blood,Elisha A. Hoffman,G (Ab),96,4/4,21105,1878,Public Domain,39
,Are You Washed In The Blood,Elisha A. Hoffman,G (Ab),96,4/4,21105,1878,Public Domain,39
,As The Deer,Martin Nystrom,D,74,4/4,1431,1984,Universal Music,40
,At The Cross,"Isaac Watts, Ralph E. Hudson",D (Eb),82,4/4,29499,1707,Public Domain,41
,At The Cross (Love Ran Red),"Chris Tomlin, Ed Cash",G,72,4/4,7017786,2014,Countless Wonder Publishing,45
B,Beautiful One,Tim Hughes,D,122,4/4,3915912,2002,Thankyou Music,61
,Because He Lives,"Gloria Gaither, William J. Gaither",G (Ab),96,4/4,16880,1971,Hanna Street Music,65
,Before The Throne Of God Above,"Charitie L. Bancroft, Vikki Cook",D,76,3/4,2306412,1997,Sovereign Grace Worship,67
,Behold Our God,"Jonathan Baird, Meghan Baird",C,73,4/4,5937510,2011,Sovereign Grace Praise,69
,Behold The Lord,"Gerald Coates, Noel Richards",G,49,4/4,1101763,1991,Thankyou Music,71
