World Wide Awakening	어웨이크닝
I'll Never Be Ashamed	결코 부끄러워 아니하리라
God So Loved The World	하나님께서 세상을 사랑하사
God So Loved The World	하나님께서 세상을 사랑하사
My Soul Will Follow	오직 주만 따르리
Glory In The Highest	가장 높은 곳에 영광
Crucified with Christ	내가 그리스도와 함께
Grace	은혜
Lift Your Eyes	눈을 들어
You Are Here	예수님 이곳에
Sweet Refrains Arise	우리 왕의 임재 안에
Kairos	카이로스
