Id,Name,BeatUnit,BarLength,Description
0,2/2,2,2,
0,2/4,2,4,Rock
0,3/4,3,4,
0,4/4,4,4,Common
0,6/4,6,4,
0,6/8,6,8,
0,9/8,9,8,
