Id,Name,Description
0,Lead Sheet,Melody line + chords
0,Chord Sheet,Letter chords only
0,Number Chart,Chords in number format
0,Lyrics,Words only
0,Vocal,4-part harmony
0,Arrangement,Advanced orchestration
