Name,Description,Version,Type,CcliLicenseNumber,StartPageNumber,TabloidFormat,OptimizeOrder,Church,ContactPerson
CCWS_LS_1E,Classic & Contemporary Worship Lead Sheet Collection 1st Edition,1,Lead Sheet,607921,1,1,1,Bethel Community Church Pointe Claire,Patrick Robichaud
CCWS_CS_1E,Classic & Contemporary Worship Chord Sheet Collection 1st Edition,1,Chord Sheet,607921,1,1,1,Bethel Community Church Pointe Claire,Patrick Robichaud
CCWS_LS_1E_XMAS,Classic & Contemporary Worship Lead Sheet Collection 1st Edition (Christmas Section),1,Lead Sheet,607921,1,1,1,Bethel Community Church Pointe Claire,Patrick Robichaud
CCWS_CS_1E_XMAS,Classic & Contemporary Worship Chord Sheet Collection 1st Edition (Christmas Section),1,Chord Sheet,607921,1,1,1,Bethel Community Church Pointe Claire,Patrick Robichaud
